                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16
195810     -999.000        3.000        0.000      256.900        0.100     -999.000     -999.000        0.090        1.950      -16.390       -1.220     2280.000     -999.000     -999.000     -999.000        0.170
195811     -999.000        3.000        0.000      215.600       -0.700     -999.000     -999.000       -0.230        1.510      -16.910       -0.420     2092.000     -999.000     -999.000     -999.000       -0.440
195812     -999.000        2.000        0.000      265.700       -1.000     -999.000     -999.000        0.170        1.030      -18.960        0.160     2382.000     -999.000     -999.000     -999.000       -0.120
195901     -999.000        0.000        0.000      307.700       -1.500     -999.000     -999.000        1.180        1.870      -20.060        0.300     2745.000     -999.000     -999.000     -999.000       -0.700
195902     -999.000        1.000        0.000      202.600       -2.300     -999.000     -999.000        0.430        1.810      -17.240       -0.430     2079.000     -999.000     -999.000     -999.000       -0.780
195903     -999.000        1.000        0.000      263.000        2.100     -999.000     -999.000        0.090       -0.370      -14.020       -1.360     2292.000     -999.000     -999.000     -999.000        0.120
195904     -999.000        1.000        0.000      231.300        0.700     -999.000     -999.000        0.340       -1.040       -9.270       -1.370     2106.000     -999.000     -999.000     -999.000        0.200
195905     -999.000        0.000        0.000      243.600        0.800     -999.000     -999.000       -0.060       -0.810       -5.910       -1.030     2127.000     -999.000     -999.000     -999.000        0.110
195906     -999.000        0.000        0.000      238.900       -0.200     -999.000     -999.000       -0.610       -0.870       -2.300       -0.030     2175.000     -999.000     -999.000     -999.000        0.420
195907     -999.000        2.000        2.000      211.900       -0.400     -999.000     -999.000       -1.220       -0.340        3.150       -0.090     2030.000     -999.000     -999.000     -999.000        0.160
195908     -999.000        6.000        2.000      282.600       -0.200     -999.000     -999.000       -1.130       -0.450        7.070       -0.040     2342.000     -999.000     -999.000     -999.000       -0.050
195909     -999.000        4.000        2.000      205.600        0.000     -999.000     -999.000       -2.010       -0.240       10.090       -0.180     1943.000     -999.000     -999.000     -999.000       -0.200
195910     -999.000        4.000        0.000      157.700        0.800     -999.000     -999.000       -2.280       -0.710       11.690        0.170     1651.000     -999.000     -999.000     -999.000        0.370
195911     -999.000        3.000        0.000      175.600        1.500     -999.000     -999.000       -1.850       -0.740       10.710        0.500     1848.000     -999.000     -999.000     -999.000        0.390
195912     -999.000        2.000        0.000      177.100        1.500     -999.000     -999.000       -2.690       -0.860        8.300        0.400     1822.000     -999.000     -999.000     -999.000        0.690
196001     -999.000        0.000        0.000      207.200        0.200     -999.000     -999.000       -1.290        0.260        4.790        0.120     2026.000     -999.000     -999.000     -999.000        0.060
196002     -999.000        0.000        0.000      149.900        0.200     -999.000     -999.000       -1.150        1.650        3.390       -0.140     1709.000     -999.000     -999.000     -999.000       -0.490
196003     -999.000        0.000        0.000      144.600        1.700     -999.000     -999.000       -1.420        1.440       -0.040       -0.360     1468.000     -999.000     -999.000     -999.000       -0.530
196004     -999.000        1.000        0.000      172.700        1.300     -999.000     -999.000       -0.800        2.000       -1.080       -0.340     1676.000     -999.000     -999.000     -999.000       -0.520
196005     -999.000        1.000        0.000      169.300        0.900     -999.000     -999.000       -1.220        2.440       -3.910       -0.940     1627.000     -999.000     -999.000     -999.000       -0.660
196006     -999.000        3.000        2.000      156.000        0.200     -999.000     -999.000       -1.620        2.540       -8.980       -1.250     1619.000     -999.000     -999.000     -999.000       -0.470
196007     -999.000        3.000        2.000      172.400        0.800     -999.000     -999.000       -1.460        1.650      -13.860       -1.580     1639.000     -999.000     -999.000     -999.000       -0.370
196008     -999.000       11.000        3.000      190.000        1.300     -999.000     -999.000       -0.480        1.080      -16.040       -1.670     1744.000     -999.000     -999.000     -999.000       -0.480
196009     -999.000        5.000        0.000      180.100        1.100     -999.000     -999.000       -1.580        0.520      -16.010       -1.350     1645.000     -999.000     -999.000     -999.000        0.240
196010     -999.000        4.000        1.000      117.300        0.200     -999.000     -999.000       -1.550        0.170      -15.620       -0.890     1423.000     -999.000     -999.000     -999.000        0.100
196011     -999.000        1.000        0.000      126.900        0.900     -999.000     -999.000       -0.370        0.250      -14.420       -0.060     1489.000     -999.000     -999.000     -999.000        0.220
196012     -999.000        1.000        0.000      121.200        1.300     -999.000     -999.000       -0.960       -0.290      -11.360       -0.030     1381.000     -999.000     -999.000     -999.000        0.370
196101        5.000        1.000        0.000       82.100       -0.400     -999.000     -999.000       -0.330       -0.160       -5.470       -0.380     1220.000     -999.000     -999.000     -999.000        0.190
196102        2.000        0.000        0.000       65.400        1.500     -999.000     -999.000       -0.160       -0.330       -0.620       -0.580     1064.000     -999.000     -999.000     -999.000        0.150
196103        3.000        1.000        0.000       75.200       -3.000     -999.000     -999.000       -0.540        0.410        0.540       -1.070     1048.000     -999.000     -999.000     -999.000       -0.370
196104        6.000        0.000        0.000       86.900        1.300     -999.000     -999.000       -0.410        1.790        2.820       -0.790     1050.000     -999.000     -999.000     -999.000       -0.770
196105        4.000        3.000        2.000       72.300        0.500     -999.000     -999.000       -0.650        2.110        6.880       -0.810      993.000     -999.000     -999.000     -999.000       -0.890
196106     -999.000        3.000        0.000      109.500        0.200     -999.000     -999.000       -0.880        0.740        7.960        0.000     1099.000     -999.000     -999.000     -999.000       -0.080
196107     -999.000        5.000        2.000       99.300        0.400     -999.000     -999.000       -1.000        1.150        6.690        0.350     1165.000     -999.000     -999.000     -999.000       -0.160
196108     -999.000        6.000        3.000       79.200        0.200     -999.000     -999.000       -1.030        1.270        5.600       -0.080     1062.000     -999.000     -999.000     -999.000       -0.250
196109        3.000        6.000        3.000       90.100        0.100     -999.000     -999.000        0.450        0.180        6.020       -0.640     1127.000     -999.000     -999.000     -999.000        0.320
196110        5.000        5.000        1.000       53.700       -0.500     -999.000     -999.000       -0.520       -0.540        7.590       -1.180      967.000     -999.000     -999.000     -999.000        0.460
196111        4.000        2.000        0.000       46.500        0.900     -999.000     -999.000       -2.080       -0.210        8.740       -0.720      903.000     -999.000     -999.000     -999.000       -0.120
196112        3.000        1.000        0.000       56.900        2.500     -999.000     -999.000       -1.080        1.510        6.250       -0.540      948.000     -999.000     -999.000     -999.000       -0.910
196201        3.000        0.000        0.000       55.100        3.300     -999.000     -999.000        0.010        1.960        2.840       -0.540      949.000     -999.000     -999.000     -999.000       -0.820
196202        2.000        1.000        0.000       71.700       -0.500     -999.000     -999.000       -0.210        1.960        3.680       -0.760     1022.000     -999.000     -999.000     -999.000       -0.400
196203        4.000        0.000        0.000       64.900        0.200     -999.000     -999.000       -0.870        3.260        5.260       -0.810     1003.000     -999.000     -999.000     -999.000       -1.130
196204        4.000        1.000        0.000       65.900        0.300     -999.000     -999.000       -1.030        3.150        2.040       -0.470      962.000     -999.000     -999.000     -999.000       -0.860
196205        1.000        2.000        0.000       61.900        1.800     -999.000     -999.000       -1.910        2.820       -3.640       -0.650      979.000     -999.000     -999.000     -999.000       -0.840
196206     -999.000        0.000        0.000       59.600        1.200     -999.000     -999.000       -0.320        1.300      -11.420       -0.550      910.000     -999.000     -999.000     -999.000       -0.060
196207     -999.000        6.000        1.000       31.400        0.100     -999.000     -999.000       -0.510        2.440      -15.490       -0.970      807.000     -999.000     -999.000     -999.000       -0.640
196208     -999.000        8.000        2.000       31.500        1.000     -999.000     -999.000       -1.030        1.560      -15.000       -1.080      773.000     -999.000     -999.000     -999.000        0.040
196209        2.000        4.000        3.000       72.700        0.700     -999.000     -999.000       -0.680        0.980      -15.190       -1.300      895.000     -999.000     -999.000     -999.000        0.170
196210        2.000        5.000        1.000       56.100        1.600     -999.000     -999.000       -0.370        0.410      -15.330       -1.100      878.000     -999.000     -999.000     -999.000       -0.370
196211        4.000        3.000        0.000       38.800        0.500     -999.000     -999.000       -0.800        1.420      -15.400       -0.730      849.000     -999.000     -999.000     -999.000       -0.600
196212        5.000        2.000        0.000       33.200        0.300     -999.000     -999.000       -1.520        2.910      -15.160       -1.120      820.000     -999.000     -999.000     -999.000       -1.520
196301        3.000        0.000        0.000       28.700        1.700     -999.000     -999.000       -1.240        3.150      -17.350       -1.830      795.000     -999.000     -999.000     -999.000       -1.490
196302        3.000        0.000        0.000       35.200        0.900     -999.000     -999.000       -1.160        3.070      -16.680       -2.290      797.000     -999.000     -999.000     -999.000       -1.260
