                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26
195611       -1.025       -1.264       -0.667       -1.069       -0.163       -1.133       -0.406       -0.873       -0.996       -0.443       -0.743       -0.769        2.304        1.003       23.653       22.127       -0.293        1.693        1.139       -0.331       -0.031       -0.997       -0.162       -0.717       -0.532        0.366
195612       -1.342       -1.185       -0.540       -0.858       -0.046       -1.033       -0.837       -0.804       -0.940       -0.095       -0.939       -0.001        3.680        0.889       21.021       21.091       -0.126        1.039        0.694       -0.779        0.174       -0.969       -0.066       -0.619       -0.145       -1.082
195701       -1.644       -0.739       -0.520       -0.519       -0.129       -0.822       -0.439       -0.741       -0.749       -0.691       -0.893        0.144        9.022        3.097       18.461       16.018       -0.251        1.362        1.089       -0.427        0.276       -0.532       -0.224       -0.444       -0.616       -1.904
195702        0.055       -0.202       -0.370       -0.213       -0.169       -0.377       -0.593       -0.680       -0.242       -0.676       -0.516        0.047       11.013        2.713       18.016       12.719       -0.250        1.178        1.314       -0.562       -0.035       -0.054       -0.289       -0.629       -0.170       -1.181
195703        0.784        0.315       -0.324        0.213       -0.356       -0.030       -1.053       -0.597        0.106       -0.489       -0.473        0.289       18.971       12.679       17.441       12.889       -0.207        1.141        0.975       -1.026       -0.185        0.315       -0.324       -0.553       -0.025       -0.771
195704        1.097        0.388        0.123        0.512       -0.221        0.155       -0.776       -0.410        0.357       -0.659       -0.513       -0.146       22.245       23.199       19.327       15.881       -0.305        0.706        0.773       -0.799        0.141        0.339       -0.032       -0.418       -0.017       -0.766
195705        2.456        0.645        0.182        0.724       -0.259        0.314       -0.854       -0.155        0.654       -0.762       -0.409       -0.001       21.797       26.749       20.371       17.977       -0.417        0.442        0.596       -0.869       -0.180        0.572       -0.076       -0.233        0.154       -0.458
195706        2.079        0.820       -0.191        0.753       -0.603        0.352       -1.032       -0.475        0.546       -0.471       -0.309        0.838       15.222       13.664       21.455       15.518       -0.351       -0.720       -0.465       -1.090       -0.419        0.820       -0.191       -0.390       -0.218        0.254
195707        1.856        1.193       -0.376        0.969       -0.822        0.595       -0.216       -0.627        0.627       -0.442       -0.629        1.554        9.103        6.218       21.494       16.971       -0.276       -0.684       -0.176       -0.226       -0.563        1.193       -0.376       -0.441       -0.172        0.224
195708        1.178        0.903        0.111        0.848       -0.406        0.538        0.190       -0.621        0.611       -0.124       -0.582        1.569        5.796        4.221       25.204       19.771       -0.153       -1.293       -0.181        0.170       -0.094        0.859       -0.250       -0.479       -0.009       -0.065
195709        0.890        0.627       -0.003        0.696       -0.479        0.280       -0.175       -0.641        0.399       -0.144       -0.752        1.391        5.445        5.015       23.142       16.712       -0.066       -2.332       -1.474       -0.280        0.052        0.627       -0.003       -0.524        0.062        0.229
195710        0.584        0.644        0.142        0.734       -0.327        0.363       -0.709       -0.551        0.433       -0.075       -0.832        2.059        6.943        4.640       22.557       17.790       -0.041       -1.586       -1.185       -0.747        0.162        0.587       -0.116       -0.438       -0.025        0.039
195711        0.522        0.972        0.199        0.987       -0.623        0.541       -0.379       -0.487        0.609       -0.099       -0.692        1.783        8.323        3.324       19.092       14.318       -0.131       -1.354       -1.443       -0.420        0.067        0.892       -0.190       -0.345       -0.421       -0.424
195712        0.550        1.278        0.431        1.328       -0.425        0.685       -0.468       -0.471        0.854        0.016       -0.627        0.332        7.628        2.466       18.616       15.125       -0.125       -0.164       -0.137       -0.499        0.269        1.106       -0.081       -0.336       -0.317       -1.036
195801        0.156        1.291        0.805        1.759       -0.346        0.776       -0.135       -0.230        0.970        0.100       -0.680        0.049       14.783        8.238       16.635       14.384       -0.069       -0.070       -0.149       -0.112        0.801        0.969        0.288       -0.023       -0.422       -1.730
195802        0.343        1.038        1.018        1.487       -0.016        0.684       -0.070       -0.297        0.954        0.623       -0.547        0.049       18.521       10.691       18.250       17.833        0.018       -0.051       -0.040       -0.104        0.897        0.631        0.603       -0.069       -0.271       -1.778
195803        0.560        0.578        0.788        1.023       -0.064        0.432       -0.084       -0.396        0.661        0.888       -0.863        1.751       20.906       15.058       18.645       18.844        0.169       -0.000        0.217       -0.107        0.675        0.263        0.557       -0.277       -0.004       -1.050
195804        0.786        0.345        0.444        0.560       -0.306        0.352       -0.040       -0.294        0.433        0.833       -1.068        0.487       24.242       27.931       17.770       14.999        0.162       -0.361       -0.085       -0.020        0.516        0.167        0.306       -0.172       -0.196       -0.733
195805        0.314        0.136        0.232        0.490       -0.427        0.277       -0.214       -0.524        0.194        0.451       -1.481        1.008       20.866       25.123       19.310       13.635        0.022       -0.948       -0.455       -0.238        0.443        0.043        0.178       -0.282       -0.506       -1.151
195806        0.134        0.073        0.190        0.391       -0.448        0.244       -0.340       -0.560        0.127        0.421       -1.415        3.925       16.097       16.646       20.308       13.148       -0.006       -0.807       -0.716       -0.480        0.509       -0.003        0.161       -0.314       -0.853       -0.932
195807        0.106       -0.115        0.090        0.137       -0.431        0.015       -0.403       -0.594       -0.007        0.157       -0.888        2.356       10.796        7.280       21.240       13.056       -0.128        0.066       -0.124       -0.554        0.392       -0.115        0.090       -0.343       -0.763       -0.384
195808       -0.378       -0.188       -0.003        0.011       -0.376        0.037       -0.233       -0.481       -0.134        0.123       -0.939        1.749        8.132        5.554       23.931       17.707       -0.093        0.223       -0.514       -0.318        0.284       -0.186        0.072       -0.356       -0.495        0.065
195809       -0.346       -0.532       -0.047       -0.329       -0.176       -0.254        0.101       -0.641       -0.315       -0.015       -0.935        0.876        7.232        5.226       24.924       21.830       -0.071       -1.132       -0.881       -0.011        0.339       -0.513        0.166       -0.386       -0.835        0.207
195810       -0.168       -0.462        0.115       -0.228       -0.182       -0.266       -0.281       -0.646       -0.195       -0.202       -0.901        1.250        8.952        4.613       24.365       19.372       -0.099       -0.332       -0.225       -0.274        0.515       -0.462        0.115       -0.380       -0.736        0.258
195811       -0.361       -0.146        0.107        0.122       -0.301       -0.091       -0.092       -0.632       -0.067       -0.099       -0.749        1.711        7.143        1.784       21.703       16.192       -0.004       -0.394       -0.334       -0.130        0.568       -0.146        0.107       -0.496       -0.394        0.179
195812       -0.539       -0.385        0.194        0.051       -0.279       -0.119       -0.426       -0.323       -0.167       -0.100       -0.353        0.286       10.764        2.578       18.705       15.740        0.007       -0.474       -0.536       -0.457        0.613       -0.385        0.194       -0.413        0.113       -0.045
195901       -0.823       -0.077        0.126        0.512       -0.564        0.074       -0.486       -0.100       -0.076        0.013       -0.244        0.097       15.522        5.960       16.072        8.954       -0.016        0.252       -0.033       -0.566        0.838       -0.077        0.126       -0.180        0.433       -0.392
195902       -0.389       -0.050       -0.117        0.428       -0.754       -0.051        0.094       -0.148       -0.114        0.111       -0.328        0.241       18.852       11.634       13.390        8.502       -0.017        0.213        0.225        0.073        0.485       -0.003       -0.097       -0.082        0.043       -1.183
195903        0.354       -0.064       -0.208        0.226       -0.702       -0.106        0.427       -0.285       -0.077       -0.367       -0.083        0.483       21.442       17.709       14.007        9.604       -0.200        0.271        0.204        0.359        0.310        0.020       -0.182       -0.218       -0.231       -1.369
195904        0.153       -0.011       -0.005        0.162       -0.475       -0.045        0.072       -0.435        0.009       -0.424       -0.032        0.533       23.747       24.273       17.625       12.710       -0.305        0.599        0.315        0.024        0.489       -0.009       -0.001       -0.342       -0.261       -0.921
